jmap -histo:live 17142

 num     #instances         #bytes  class name
 270:           100           3200  org.apache.catalina.util.StringParser
 271:           100           3200  org.apache.coyote.http11.filters.BufferedInputFilter
 272:           100           3200  org.apache.coyote.http11.filters.IdentityOutputFilter
 273:           200           3200  org.apache.jasper.compiler.ELNode$ELText
 274:           100           3200  org.apache.tomcat.util.http.Cookies
 275:            80           3200  org.springframework.beans.factory.support.DisposableBeanAdapter
 276:           100           3200  sun.reflect.generics.tree.MethodTypeSignature
 277:           133           3192  com.sun.org.apache.xerces.internal.util.XMLStringBuffer
 278:            31           3152  [Ljava.lang.reflect.Method;
 279:            97           3104  org.springframework.core.convert.TypeDescriptor
 280:           128           3072  [Lnet.sf.ehcache.store.chm.SelectableConcurrentHashMap$HashEntry;
 281:           127           3048  org.apache.jasper.compiler.ELNode$Nodes
 282:           165           3040  [Ljava.lang.reflect.TypeVariable;
 283:           126           3024  java.util.Collections$UnmodifiableRandomAccessList
 284:           125           3000  sun.reflect.NativeMethodAccessorImpl
 285:            37           2960  org.apache.jasper.compiler.TagLibraryInfoImpl
 286:            74           2960  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 287:            48           2912  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
 288:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 289:            72           2880  org.apache.tomcat.util.digester.CallParamRule
 290:           120           2880  sun.reflect.generics.scope.ClassScope
 291:           119           2856  sun.reflect.generics.tree.ClassSignature
 292:           176           2816  [Ljava.security.Principal;
 293:           176           2816  java.security.ProtectionDomain$Key
 294:            27           2808  org.springframework.beans.factory.support.GenericBeanDefinition
 295:           173           2768  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 296:            47           2752  [Lcom.sun.org.apache.xerces.internal.util.SymbolHash$Entry;
 297:           172           2752  org.apache.juli.logging.DirectJDKLog
 298:           114           2736  com.sun.org.apache.xerces.internal.xni.XMLString
 299:           171           2736  java.util.concurrent.locks.ReentrantLock
 300:            38           2736  org.apache.jasper.compiler.Node$TaglibDirective
 301:            56           2688  com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute
 302:            47           2632  org.hsqldb.types.CharacterType
 303:            82           2624  org.apache.catalina.util.ManifestResource
 304:            65           2600  org.apache.tomcat.util.collections.ManagedConcurrentWeakHashMap$Key
 305:           108           2592  org.apache.catalina.core.ApplicationContext$DispatchData
 306:           108           2592  org.apache.jasper.runtime.JspFactoryImpl$PageContextPool
 307:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 308:           119           2552  [Lsun.reflect.generics.tree.ClassTypeSignature;
 309:            78           2496  java.io.File
 310:           156           2496  java.util.LinkedHashMap$LinkedEntrySet
 311:            70           2440  [Ljavax.management.MBeanOperationInfo;
 312:           152           2432  java.util.concurrent.atomic.AtomicInteger
 313:           152           2432  org.springframework.beans.factory.support.MethodOverrides
 314:           101           2424  com.sun.org.apache.xerces.internal.util.SymbolTable$Entry
 315:           101           2424  org.apache.tomcat.util.http.parser.HttpParser
 316:            91           2416  [Ljava.lang.annotation.ElementType;
 317:           100           2400  org.apache.catalina.session.ManagerBase$SessionTiming
 318:           100           2400  org.apache.catalina.util.ParameterMap
 319:           100           2400  org.apache.coyote.AsyncStateMachine
 320:           100           2400  org.apache.coyote.http11.filters.ChunkedOutputFilter
 321:           100           2400  org.apache.coyote.http11.filters.GzipOutputFilter
 322:           100           2400  org.apache.coyote.http11.filters.GzipOutputFilter$FakeOutputStream
 323:           100           2400  org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor
 324:            99           2376  sun.reflect.generics.scope.MethodScope
 325:            90           2272  [Lorg.apache.jasper.compiler.Node$JspAttribute;
 326:            94           2256  org.apache.jasper.compiler.JspUtil$ValidAttribute
 327:            94           2256  org.apache.jasper.compiler.Node$ChildInfo
 328:            37           2192  [Ljavax.servlet.jsp.tagext.TagInfo;
 329:            33           2112  org.springframework.web.method.HandlerMethod$HandlerMethodParameter
 330:             1           2064  [Lorg.joda.time.tz.CachedDateTimeZone$Info;
 331:           128           2048  net.sf.ehcache.concurrent.ReadWriteLockSync
 332:            83           1992  org.springframework.beans.CachedIntrospectionResults
 333:           100           1984  [Lsun.reflect.generics.tree.TypeSignature;
 334:            48           1920  com.sun.org.apache.xerces.internal.impl.dtd.XMLSimpleType
 335:            60           1920  com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer
 336:            60           1920  java.lang.reflect.WeakCache$CacheValue
 337:            48           1920  org.springframework.util.ConcurrentReferenceHashMap$Segment
 338:             9           1872  com.github.dandelion.datatables.jsp.tag.TableTag
